,future_energy
2018-08-04,5873.664583333335
2018-08-05,5194.438333333333
2018-08-06,5452.51125
2018-08-07,5866.399166666666
2018-08-08,5898.911249999997
2018-08-09,6097.292499999998
2018-08-10,6044.883333333335
2018-08-11,6160.675833333336
2018-08-12,5364.671666666667
2018-08-13,5507.047282608697
2018-08-14,5579.144347826089
2018-08-15,5750.970000000001
2018-08-16,6012.833333333334
2018-08-17,5952.285416666667
2018-08-18,6272.862083333333
2018-08-19,5492.05166666667
2018-08-20,5476.05583333333
2018-08-21,5367.059963768115
2018-08-22,5427.388333333332
2018-08-23,5796.443333333334
2018-08-24,5691.074583333334
2018-08-25,6278.670416666666
2018-08-26,5501.026250000001
2018-08-27,5747.823333333329
2018-08-28,5442.768749999999
2018-08-29,5369.239474637683
2018-08-30,5802.163713768117
2018-08-31,5344.741666666666
2018-09-01,6399.489166666666
2018-09-02,5456.832083333333
